Spec,Last Sale,Net,Bid,Ask,Vol,Open Int,Type,Strike,dtExpiry,dtTrade,Mid,QuickDelta,IVBid,IVAsk,IR,IDIV,ATMVol,Fwd,T
11 May 1300.00 (SPX1121E1300-E),0.0,0.0,38.5,42.2,0,0,C,1300.0,2011-05-21,2011-01-24,40.35,0.449719385852,0.157645144577,0.170462770101,0.00393341959485,0.0192859999222,0.170321847005,1284.25430188,0.320547945205
11 May 1325.00 (SPX1121E1325-E),28.05,0.0,26.3,29.9,2,0,C,1325.0,2011-05-21,2011-01-24,28.1,0.373006066967,0.148417254934,0.161465550142,0.00393341959485,0.0192859999222,0.170321847005,1284.25430188,0.320547945205
11 May 1350.00 (SPX1121E1350-E),18.65,0.65,17.1,20.1,4,0,C,1350.0,2011-05-21,2011-01-24,18.6,0.302319318202,0.141492496113,0.153581441493,0.00393341959485,0.0192859999222,0.170321847005,1284.25430188,0.320547945205
11 May 1375.00 (SPX1121E1375-E),11.5,0.5,10.2,13.1,251,0,C,1375.0,2011-05-21,2011-01-24,11.65,0.239465178657,0.134455171354,0.148391224546,0.00393341959485,0.0192859999222,0.170321847005,1284.25430188,0.320547945205
11 May 1200.00 (SPX1121Q1200-E),0.0,0.0,22.6,26.2,0,0,P,1200.0,2011-05-21,2011-01-24,24.4,0.75918424547,0.195325459522,0.210637188837,0.00393341959485,0.0192859999222,0.170321847005,1284.25430188,0.320547945205
11 May 1225.00 (SPX1121Q1225-E),30.0,0.0,28.1,31.8,875,0,P,1225.0,2011-05-21,2011-01-24,29.95,0.687882363597,0.185490875732,0.199868422432,0.00393341959485,0.0192859999222,0.170321847005,1284.25430188,0.320547945205
11 May 1250.00 (SPX1121Q1250-E),36.8,-0.45,34.9,38.7,110,0,P,1250.0,2011-05-21,2011-01-24,36.8,0.610396482959,0.175561116435,0.189336090849,0.00393341959485,0.0192859999222,0.170321847005,1284.25430188,0.320547945205
11 May 1275.00 (SPX1121Q1275-E),46.0,-2.0,43.5,47.2,3075,0,P,1275.0,2011-05-21,2011-01-24,45.35,0.529891544069,0.166272315752,0.179150929513,0.00393341959485,0.0192859999222,0.170321847005,1284.25430188,0.320547945205
11 Jun 1300.00 (SPX1118F1300-E),46.8,1.35,44.8,46.9,505,63714,C,1300.0,2011-06-18,2011-01-24,45.85,0.451515233821,0.163726481484,0.170266771706,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1325.00 (SPX1118F1325-E),33.35,0.6,32.6,36.3,2,11828,C,1325.0,2011-06-18,2011-01-24,34.45,0.384535025827,0.15592384521,0.16783544053,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1350.00 (SPX1118F1350-E),24.0,0.3,22.6,26.4,1223,55449,C,1350.0,2011-06-18,2011-01-24,24.5,0.3219910302,0.1486605902,0.161872389533,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1365.00 (SPX1118F1365-E),19.5,2.0,17.9,20.9,400,5321,C,1365.0,2011-06-18,2011-01-24,19.4,0.287134748541,0.145448464891,0.156650995317,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1375.00 (SPX1118F1375-E),16.0,0.0,14.9,17.9,0,24047,C,1375.0,2011-06-18,2011-01-24,16.4,0.265135450449,0.142295236032,0.154187555324,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1400.00 (SPX1118F1400-E),10.4,-0.6,9.5,11.0,204,30661,C,1400.0,2011-06-18,2011-01-24,10.25,0.214744807933,0.137727546203,0.144967917537,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1175.00 (SPX1118R1175-E),28.7,0.0,23.8,27.6,0,20303,P,1175.0,2011-06-18,2011-01-24,25.7,0.785162898156,0.206387196874,0.221638934315,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1190.00 (SPX1118R1190-E),32.0,0.0,26.8,30.6,0,2258,P,1190.0,2011-06-18,2011-01-24,28.7,0.750278765311,0.201337794454,0.215798175342,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1200.00 (SPX1118R1200-E),30.5,-4.5,28.8,32.1,1079,48463,P,1200.0,2011-06-18,2011-01-24,30.45,0.725717148121,0.197261050157,0.209427575265,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1225.00 (SPX1118R1225-E),38.0,-2.7,35.3,39.0,505,15458,P,1225.0,2011-06-18,2011-01-24,37.15,0.660558089442,0.189751191472,0.202359620601,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1250.00 (SPX1118R1250-E),45.0,-3.1,42.5,46.3,900,40192,P,1250.0,2011-06-18,2011-01-24,44.4,0.591660700261,0.180305459126,0.192574743447,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
11 Jun 1275.00 (SPX1118R1275-E),55.8,0.6,51.7,55.4,816,11639,P,1275.0,2011-06-18,2011-01-24,53.55,0.521237140245,0.172609529269,0.18417132729,0.00378796030006,0.0195126918467,0.175954566423,1282.55305675,0.397260273973
