PBid,PAsk,Type,Strike,dtExpiry,dtTrade,Spot,IVBid,IVAsk,IVMid,QuickDelta,iRate,iDiv,ATMVol,Fwd,TTM,CP
9.5,11.0,C,1400.0,2011-05-18,2011-01-24,1290.59,0.15532894248448045,0.15532894248448045,0.15532894248448045,0.21059106393430016,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,1
23.8,27.6,P,1175.0,2011-05-18,2011-01-24,1290.59,0.23276320472244866,0.24996409381787693,0.2413636492701628,0.7893160360864371,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,-1
26.8,30.6,P,1190.0,2011-05-18,2011-01-24,1290.59,0.2270684954227284,0.24337689365643053,0.23522269453957945,0.7541467001279432,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,-1
28.8,32.1,P,1200.0,2011-05-18,2011-01-24,1290.59,0.2224707486544438,0.2361921394064153,0.22933144403042954,0.7293254398821581,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,-1
35.3,39.0,P,1225.0,2011-05-18,2011-01-24,1290.59,0.21400114007030882,0.22822090958545316,0.22111102482788098,0.663298909355263,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,-1
42.5,46.3,P,1250.0,2011-05-18,2011-01-24,1290.59,0.20334825575817053,0.217185538212768,0.21026689698546927,0.5932902011968195,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,-1
51.7,55.4,P,1275.0,2011-05-18,2011-01-24,1290.59,0.19467189502687238,0.20770208045588484,0.2011869877413786,0.521621335279146,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,-1
63.5,67.2,C,1300.0,2011-08-17,2011-01-24,1290.59,0.19303054717562207,0.19303054717562207,0.19303054717562207,0.45429672975159197,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,1
50.7,54.4,C,1325.0,2011-08-17,2011-01-24,1290.59,0.1853593150922669,0.1853593150922669,0.1853593150922669,0.4048261888764209,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,1
39.7,43.5,C,1350.0,2011-08-17,2011-01-24,1290.59,0.17870538965244076,0.17870538965244076,0.17870538965244076,0.3577125717843183,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,1
30.3,34.1,C,1375.0,2011-08-17,2011-01-24,1290.59,0.17244975641172303,0.17244975641172303,0.17244975641172303,0.31347826134821244,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,1
22.4,26.1,C,1400.0,2011-08-17,2011-01-24,1290.59,0.16631237753861763,0.16631237753861763,0.16631237753861763,0.2725024149596085,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,1
16.2,19.2,C,1425.0,2011-08-17,2011-01-24,1290.59,0.1611872860985426,0.1611872860985426,0.1611872860985426,0.23502472435363325,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,1
11.0,14.1,C,1450.0,2011-08-17,2011-01-24,1290.59,0.15483617005648725,0.15483617005648725,0.15483617005648725,0.20115640883540475,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,1
36.7,40.5,P,1150.0,2011-08-17,2011-01-24,1290.59,0.23740879421628647,0.24987492310685216,0.24364185866156932,0.7569652304359975,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,-1
42.6,46.2,P,1175.0,2011-08-17,2011-01-24,1290.59,0.23027704424976253,0.24134793005157062,0.23581248715066658,0.7102943971840338,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,-1
49.1,52.8,P,1200.0,2011-08-17,2011-01-24,1290.59,0.22251698938325504,0.2332641641500024,0.22789057676662872,0.6608971057402946,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,-1
56.3,60.1,P,1225.0,2011-08-17,2011-01-24,1290.59,0.21417914051100645,0.22474857215965535,0.2194638563353309,0.6096678838696147,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,-1
64.9,68.7,P,1250.0,2011-08-17,2011-01-24,1290.59,0.2069512129117817,0.21715498392764368,0.2120530984197127,0.5575463707890701,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,-1
74.6,78.4,P,1275.0,2011-08-17,2011-01-24,1290.59,0.19964193062027266,0.2096565690109511,0.2046492498156119,0.5054640427620659,0.004739219128646269,0.02269310616981759,0.20162311568810215,1277.641484671015,0.5616438356164384,-1
89.1,96.8,C,1275.0,2011-11-17,2011-01-24,1290.59,0.19804273984328524,0.19804273984328524,0.19804273984328524,0.4959297953476903,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,1
75.4,83.1,C,1300.0,2011-11-17,2011-01-24,1290.59,0.19194729362544458,0.19194729362544458,0.19194729362544458,0.45381680445245065,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,1
62.8,70.4,C,1325.0,2011-11-17,2011-01-24,1290.59,0.1858480300603098,0.1858480300603098,0.1858480300603098,0.41300203202891345,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,1
51.4,59.1,C,1350.0,2011-11-17,2011-01-24,1290.59,0.1798373500782735,0.1798373500782735,0.1798373500782735,0.37384211059565164,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,1
41.2,48.8,C,1375.0,2011-11-17,2011-01-24,1290.59,0.17381051572112252,0.17381051572112252,0.17381051572112252,0.3366255560577729,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,1
32.4,40.1,C,1400.0,2011-11-17,2011-01-24,1290.59,0.16819293872108337,0.16819293872108337,0.16819293872108337,0.3015721086170887,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,1
24.5,32.4,C,1425.0,2011-11-17,2011-01-24,1290.59,0.16166521642729106,0.16166521642729106,0.16166521642729106,0.2688349726190259,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,1
18.9,25.2,C,1450.0,2011-11-17,2011-01-24,1290.59,0.15835269735800847,0.15835269735800847,0.15835269735800847,0.2385053352665697,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,1
13.6,19.9,C,1475.0,2011-11-17,2011-01-24,1290.59,0.15262923108239293,0.15262923108239293,0.15262923108239293,0.21061853344340403,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,1
38.1,45.8,P,1095.0,2011-11-17,2011-01-24,1290.59,0.24455514157265032,0.26720791084975454,0.2558815262112024,0.7936596075194764,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,-1
39.1,46.8,P,1100.0,2011-11-17,2011-01-24,1290.59,0.243267664041926,0.2656429428780729,0.25445530345999945,0.7865063817457514,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,-1
44.5,52.2,P,1125.0,2011-11-17,2011-01-24,1290.59,0.2370575756635721,0.2581072685928388,0.24758242212820544,0.7491728539596114,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,-1
48.2,55.8,P,1140.0,2011-11-17,2011-01-24,1290.59,0.23375145152216026,0.25383658003548215,0.2437940157788212,0.7256494512989976,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,-1
50.6,58.1,P,1150.0,2011-11-17,2011-01-24,1290.59,0.23102291710127584,0.2504377686880821,0.24073034289467898,0.7095643216566933,0.00516168954994228,0.022398388719938774,0.20342384187019824,1272.6152049071952,0.8136986301369863,-1
